2025-12-19T15:44:54.336950+00:00|due to freeze in Spring Garden for a 2-car MVA, no injuries. One should be a blue Subaru, the other a black Nissan.
2025-12-18T21:27:29.673878+00:00|What's that on Hilliard? at Madison now for a possible impact. Strawberry. King, Queen yesterday, 1526. Blue 2022 Chevy. List of 1548 Spring Garden. County.
2025-12-16T11:51:32.214708+00:00|124. I'm deterring Spring Garden now. I haven't seen anything. Company East. I'll continue to check West.



2025-12-18T16:00:09.337260+00:00|10-2. They're just going to be in Cleveland if you want to notify them.
2025-12-18T16:00:12.422755+00:00|I'm closer.
2025-12-18T16:00:15.297245+00:00|Thank you.
2025-12-18T16:00:28.877317+00:00|I'm closer.
2025-12-18T16:00:33.741304+00:00|Disregard.
2025-12-18T16:00:37.347371+00:00|Cleveland has been notified.
2025-12-18T16:00:52.550650+00:00|You've been notified.
2025-12-18T16:00:56.956169+00:00|Okay.
2025-12-18T16:01:11.407127+00:00|Dispatch from Car 2.
2025-12-18T16:01:26.598363+00:00|We're going to make contact with the third vehicle pulled over on the right shoulder just to confirm there's no injuries.
2025-12-18T16:01:33.774050+00:00|Negative. Two of the lanes are already blocked off due to the construction.
2025-12-18T16:01:36.676552+00:00|Copy.
2025-12-18T16:03:45.521348+00:00|Engine 2 and medic 2 from car 2.
2025-12-18T16:03:51.622235+00:00|You can return to service.
2025-12-18T16:03:53.712465+00:00|Copy that.
2025-12-18T16:04:03.436056+00:00|The vehicle was cited. No notice was left. Break.
2025-12-18T16:04:13.569221+00:00|Please show us a 2069 LARG for a 24-hour follow-up.
2025-12-18T16:04:56.644043+00:00|Dispatch from Car 2.
2025-12-18T16:04:58.863540+00:00|Go ahead, sir.
2025-12-18T16:05:21.889342+00:00|There's no injuries reported for the driver of the Jeep Compass. The end. Low-speed lane is already barricaded by ODOT by the construction company. I'm going to place LLP back in service.
2025-12-18T16:05:31.050737+00:00|Truck 1, Car 8, Medic 1 copy in service.
2025-12-18T16:05:35.657915+00:00|You're fresh.
2025-12-18T16:08:34.356600+00:00|28.
2025-12-18T16:08:43.366134+00:00|CPD is on scene. We're 10-8.
2025-12-18T16:08:49.768380+00:00|25. 24. 25.
